NextPrime[2^(16*n)]-2^(16*n) in decimal
n=01 ==> 0001
n=02 ==> 0015
n=03 ==> 0021
n=04 ==> 0013
n=05 ==> 0013
n=06 ==> 0061
n=07 ==> 0025
n=08 ==> 0051
n=09 ==> 0175
n=10 ==> 0007
n=11 ==> 0427
n=12 ==> 0133
n=13 ==> 0375
n=14 ==> 0735
n=15 ==> 0115
n=16 ==> 0297
n=17 ==> 0057
n=18 ==> 0127
n=19 ==> 0037
n=20 ==> 0027
n=21 ==> 0241
n=22 ==> 0055
n=23 ==> 0127
n=24 ==> 0231
n=25 ==> 0181
n=26 ==> 0235
n=27 ==> 1093
n=28 ==> 0211
n=29 ==> 0841
n=30 ==> 0165
n=31 ==> 0583
n=32 ==> 0075
n=33 ==> 0381
n=34 ==> 0163
n=35 ==> 0211
n=36 ==> 0243
n=37 ==> 0087
n=38 ==> 0253
n=39 ==> 0451
n=40 ==> 0115
n=41 ==> 0081
n=42 ==> 0583
n=43 ==> 0165
n=44 ==> 0327
n=45 ==> 0141
n=46 ==> 0297
n=47 ==> 0417
n=48 ==> 0183
n=49 ==> 0003
n=50 ==> 0025
n=51 ==> 0127
n=52 ==> 0637
n=53 ==> 0673
n=54 ==> 0213
n=55 ==> 0541
n=56 ==> 0993
n=57 ==> 0261
n=58 ==> 0177
n=59 ==> 0657
n=60 ==> 1465
n=61 ==> 0115
n=62 ==> 2431
n=63 ==> 0763
n=64 ==> 0643
